id_coleta,posto,bairro,endereco,bandeira,combustivel,data_coleta,preco
194,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-05-26,6.370
195,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-06-01,6.370
196,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-06-08,6.370
197,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-06-17,6.690
198,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-06-23,6.650
199,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-06-30,6.540
200,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-07-15,6.450
201,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-07-20,6.450
202,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-07-28,6.270
203,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-08-03,6.270
204,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-08-12,6.270
205,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-08-19,6.270
206,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-08-26,6.270
207,Posto Champagnat Ltda,Praia da Costa,"Rua Hugo Musso, 550",Ipiranga,Diesel S10,2026-01-07,6.090
